,cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,tipo_agencia
13,1046,176,1,2010-11-15 16:03:28 UTC,0.0211,178393.0382427647,214294.19,35901.15175723529,10219.65941480147,22,4,Enviada,Agencia Fisica
14,113,176,96,2021-12-10 00:25:09 UTC,0.0221,124489.83817197604,232380.19,107890.35182802397,4051.1675344007535,52,6,Enviada,Agencia Fisica
15,1758,176,99,2010-01-10 08:12:47 UTC,0.0133,96404.11160756285,184043.36,87639.24839243713,1673.3860370378347,110,6,Validação documentos,Agencia Fisica
16,1171,732,1,2020-05-04 21:51:58 UTC,0.0242,40476.95900792965,56464.88,15987.920992070354,20976.06400068516,2,0,Enviada,Agencia Digital
17,820,732,11,2019-08-19 17:58:22 UTC,0.0162,83530.75754107398,117470.17,33939.41245892601,2145.2920672963287,62,3,Validação documentos,Agencia Digital
18,1434,560,1,2020-01-31 00:02:49 UTC,0.0169,137637.61548997936,192947.94,55310.32451002064,2861.6076046244925,100,0,Enviada,Agencia Fisica
19,290,560,74,2013-03-07 22:13:26 UTC,0.0205,69137.77318490017,103454.61,34316.83681509983,1587.6692072971316,110,1,Aprovada,Agencia Fisica
20,480,560,38,2011-11-03 04:11:56 UTC,0.0083,70831.89477202413,107264.52,36432.62522797587,1204.6031908540033,81,3,Validação documentos,Agencia Fisica
21,949,560,43,2016-05-04 11:50:24 UTC,0.0121,76701.28331740524,123000.84,46299.55668259476,3573.838710735931,25,1,Validação documentos,Agencia Fisica
22,1744,159,1,2016-03-04 20:31:58 UTC,0.018,1317.1257616171436,1605.63,288.50423838285656,36.07866460785745,60,2,Enviada,Agencia Digital
23,1864,776,1,2019-09-13 10:21:31 UTC,0.011,106127.47060972652,128472.96,22345.489390273477,1774.933848973979,98,4,Enviada,Agencia Fisica
24,1118,776,32,2017-10-21 23:50:07 UTC,0.01,34437.4429849607,47305.91,12868.467015039309,1563.692481363542,25,2,Enviada,Agencia Fisica
25,569,776,95,2021-04-20 06:01:44 UTC,0.0249,94036.99092648992,165546.12,71509.12907351006,2606.1386290475343,93,3,Validação documentos,Agencia Fisica
26,1928,421,1,2014-05-08 15:43:27 UTC,0.02,3455.6064890323746,6668.98,3213.373510967625,211.33355200167713,20,2,Enviada,Agencia Digital
27,1142,421,53,2013-11-09 14:44:15 UTC,0.0221,101099.94478810302,153347.25,52247.305211896964,2758.0319425037383,76,5,Aprovada,Agencia Digital
28,41,608,2,2021-03-04 08:08:46 UTC,0.0136,168359.67759110138,235794.55,67434.8724088986,35058.121491498576,5,4,Enviada,Agencia Fisica
29,649,608,52,2022-11-22 03:12:33 UTC,0.0238,77533.55315050446,100233.67,22700.11684949555,2340.9753461101527,66,0,Aprovada,Agencia Fisica
30,1206,608,3,2017-06-19 08:08:22 UTC,0.0121,84015.8010678277,136953.9,52938.098932172295,8203.41650584651,11,2,Validação documentos,Agencia Fisica
31,278,608,12,2011-05-04 00:30:59 UTC,0.0156,106979.13180850176,145268.66,38289.52819149823,2187.318127648624,93,2,Validação documentos,Agencia Fisica
32,416,342,2,2015-10-11 14:28:01 UTC,0.0187,112227.04509632642,215028.75,102801.70490367358,3156.6754779627627,59,1,Enviada,Agencia Digital
33,1441,342,58,2021-02-26 21:19:33 UTC,0.0239,35917.273526463134,55694.86,19777.586473536867,968.7027967321415,92,4,Validação documentos,Agencia Digital
34,581,81,2,2022-03-19 23:43:49 UTC,0.0183,59901.04289653616,112333.57,52432.52710346384,1309.804213315197,100,6,Enviada,Agencia Digital
35,1418,81,92,2012-06-10 22:30:10 UTC,0.0091,190412.9324806286,248007.51,57594.57751937139,96507.99658887635,2,1,Aprovada,Agencia Digital
36,678,788,2,2011-02-03 06:12:10 UTC,0.0165,111091.74640892056,167331.74,56239.993591079445,5459.059053843573,25,3,Enviada,Agencia Digital
37,1623,788,61,2013-03-03 02:24:28 UTC,0.0182,139271.38109414757,181642.02,42370.63890585244,2891.6005061829733,116,1,Enviada,Agencia Digital
38,1513,788,66,2020-01-09 00:19:53 UTC,0.0242,137192.36516001483,227660.97,90468.60483998519,3621.246108779951,104,0,Aprovada,Agencia Digital
39,1203,788,81,2015-08-24 19:26:44 UTC,0.019,15672.888568793423,31093.89,15421.001431206576,643.6412878100102,33,3,Validação documentos,Agencia Digital
40,1272,673,2,2012-10-13 07:02:05 UTC,0.0204,53294.78508946344,69167.42,15872.63491053656,1370.9594666509722,78,6,Enviada,Agencia Digital
41,1724,673,99,2012-05-15 11:46:09 UTC,0.0185,62123.71634705348,119646.36,57522.64365294652,1613.054656592531,68,0,Enviada,Agencia Digital
42,1500,673,3,2017-07-25 11:03:15 UTC,0.0237,153458.10971704873,186909.25,33451.14028295127,4167.440223469516,88,1,Aprovada,Agencia Digital
43,1577,673,82,2021-03-31 01:29:30 UTC,0.0101,11791.174397808652,18333.52,6542.345602191349,173.81603750784038,115,0,Aprovada,Agencia Digital
44,1654,673,87,2021-10-20 23:40:51 UTC,0.017,8983.777913862981,15413.04,6429.262086137021,258.5263159340559,53,2,Em análise,Agencia Digital
45,1469,895,2,2022-04-08 06:23:32 UTC,0.0199,38892.28169957142,68709.07,29816.78830042859,1298.5225831127636,46,6,Enviada,Agencia Fisica
46,1512,895,33,2020-11-19 13:33:14 UTC,0.0179,99892.9732048055,174480.38,74587.4067951945,5156.647273335908,24,3,Enviada,Agencia Fisica
47,91,117,3,2010-03-24 01:05:13 UTC,0.0174,71838.2390392274,111779.56,39941.32096077261,1616.7132431016391,86,1,Enviada,Agencia Digital
48,994,117,38,2019-03-21 02:52:55 UTC,0.0137,15485.55170730432,24251.63,8766.078292695682,735.7340193694781,25,5,Aprovada,Agencia Digital
49,102,859,3,2021-06-16 09:12:09 UTC,0.0164,107696.2338189013,199719.09,92022.8561810987,2441.637260203006,79,2,Enviada,Agencia Digital
50,456,859,56,2010-11-06 06:17:38 UTC,0.0112,9816.418902348158,16567.1,6750.681097651844,211.2119416305136,66,3,Enviada,Agencia Digital
51,434,859,25,2017-06-27 17:45:08 UTC,0.0096,52629.60253362917,77727.42,25097.81746637083,1104.486671021695,64,3,Em análise,Agencia Digital
52,928,859,94,2015-10-08 05:56:25 UTC,0.023,44984.13854735924,87246.07,42261.93145264077,1150.3506021166984,101,6,Em análise,Agencia Digital
53,523,587,3,2012-12-31 07:51:31 UTC,0.019,42714.08019842081,51641.15,8927.069801579195,1835.9446895728747,31,6,Enviada,Agencia Digital
54,1793,587,31,2013-05-23 14:26:35 UTC,0.0215,110456.1642441406,135753.05,25296.88575585939,4019.985633760079,42,1,Enviada,Agencia Digital
55,979,778,3,2014-06-28 16:57:58 UTC,0.0238,104763.13438780385,157840.73,53077.595612196164,2717.979766067126,106,4,Enviada,Agencia Fisica
56,449,778,74,2014-06-10 17:20:52 UTC,0.0217,45887.56367619474,54695.56,8807.99632380526,1288.7516873980278,69,5,Em análise,Agencia Fisica
57,575,778,26,2012-09-05 01:27:21 UTC,0.0113,131018.79291831848,196110.87,65092.07708168153,2406.430899523011,85,5,Validação documentos,Agencia Fisica
58,1564,419,3,2013-11-10 00:28:30 UTC,0.0218,13502.18126848004,21466.99,7964.808731519962,1668.467893918379,9,5,Enviada,Agencia Fisica
59,1008,419,69,2013-09-10 04:12:25 UTC,0.0086,79156.37562773154,108353.5,29197.124372268456,1128.1803171059944,108,5,Enviada,Agencia Fisica
60,86,938,4,2013-06-17 23:23:46 UTC,0.0135,3184.4418528988044,5522.97,2338.528147101196,61.338137376827305,90,5,Enviada,Agencia Fisica
61,1104,938,48,2016-09-25 19:11:45 UTC,0.0089,99604.27707713004,189103.76,89499.48292286995,1776.5451096647073,78,3,Aprovada,Agencia Fisica
62,647,938,85,2020-10-05 11:48:51 UTC,0.0081,115525.21910514867,195909.91,80384.69089485133,6280.07683435454,20,0,Aprovada,Agencia Fisica
63,1168,938,4,2011-11-19 11:40:19 UTC,0.0109,134829.49337014437,180975.48,46145.986629855644,4548.135602493081,36,6,Validação documentos,Agencia Fisica
64,209,635,4,2011-06-10 22:53:56 UTC,0.0142,161192.348874469,233647.2,72454.851125531,19205.78985003392,9,6,Enviada,Agencia Fisica
65,487,635,11,2015-05-05 18:40:19 UTC,0.0182,13134.527461582678,20036.49,6901.962538417323,355.11897276595613,62,4,Enviada,Agencia Fisica
66,188,635,94,2016-10-08 19:08:34 UTC,0.0228,13356.915572556492,19503.93,6147.014427443509,1005.6912990831892,16,3,Aprovada,Agencia Fisica
67,226,88,4,2010-05-08 06:27:52 UTC,0.0194,121138.6476684204,154297.83,33159.18233157959,2680.151133232628,109,6,Enviada,Agencia Digital
68,543,710,4,2014-06-19 18:52:17 UTC,0.0199,41698.0655006476,66347.38,24649.3144993524,1081.3994492486784,74,4,Enviada,Agencia Digital
69,1365,710,25,2020-04-04 01:23:26 UTC,0.0115,37744.22177494886,69065.94,31321.718225051143,713.3946929114029,82,5,Aprovada,Agencia Digital
70,1668,710,49,2022-06-26 16:49:25 UTC,0.024,18369.718148419972,32359.22,13989.501851580026,495.4635707256437,93,5,Em análise,Agencia Digital
71,886,138,4,2016-06-26 23:19:30 UTC,0.0201,17467.397581144243,25261.08,7793.682418855757,522.5400420542683,56,1,Enviada,Agencia Fisica
72,1350,138,85,2021-06-16 21:54:08 UTC,0.0113,97368.2315514258,185316.96,87948.7284485742,6686.439175852816,16,4,Enviada,Agencia Fisica
73,419,138,53,2017-10-02 21:31:43 UTC,0.0109,81704.99694877649,144915.68,63210.6830512235,2434.908118610877,42,4,Em análise,Agencia Fisica
74,128,138,71,2010-01-15 15:35:07 UTC,0.0186,42027.97086088297,57869.25,15841.279139117036,957.416810239698,92,6,Em análise,Agencia Fisica
75,712,138,27,2010-08-26 06:06:59 UTC,0.0222,147228.59374468197,193295.68,46067.08625531802,4271.200341708905,66,0,Validação documentos,Agencia Fisica
76,1045,934,4,2016-05-15 21:08:53 UTC,0.0212,180566.23559891657,239033.99,58467.75440108343,13425.47208419198,16,3,Enviada,Agencia Fisica
77,492,934,23,2013-07-20 14:08:38 UTC,0.0195,50523.56132970261,94411.57,43888.00867029739,1590.9688631050417,50,0,Aprovada,Agencia Fisica
78,1479,934,48,2022-04-07 00:51:09 UTC,0.01,34973.73484007577,62997.85,28024.11515992423,878.7782093915431,51,5,Aprovada,Agencia Fisica
79,1566,648,4,2015-10-07 14:06:02 UTC,0.0165,15578.90520503972,30167.01,14588.104794960278,4056.6982695489537,4,4,Enviada,Agencia Fisica
80,1157,648,84,2018-09-20 03:06:43 UTC,0.024,78447.70848017235,99704.19,21256.481519827656,4799.447886827362,21,0,Validação documentos,Agencia Fisica
81,544,648,95,2010-08-26 23:50:13 UTC,0.0134,195051.40681452,243678.11,48626.70318548005,3277.097957971236,120,5,Validação documentos,Agencia Fisica
82,1573,395,4,2013-01-20 11:07:21 UTC,0.0125,131608.19533067904,167117.91,35509.714669320965,2490.081034346731,87,3,Enviada,Agencia Fisica
83,1078,395,54,2014-02-19 03:14:51 UTC,0.0244,39138.65888207351,49429.78,10291.121117926492,20288.44449094587,2,5,Validação documentos,Agencia Fisica
84,23,358,5,2020-05-30 04:42:27 UTC,0.0113,13338.287211939802,18727.61,5389.322788060199,252.23729280744053,81,0,Enviada,Agencia Digital
85,1820,358,27,2022-11-26 09:59:44 UTC,0.0245,21065.284777862697,25728.28,4662.9952221373005,587.6434665330809,87,0,Enviada,Agencia Digital
86,1088,358,43,2014-03-28 03:47:41 UTC,0.0202,67799.94087333533,112570.98,44771.039126664655,1647.4069383160547,89,3,Validação documentos,Agencia Digital
87,352,249,5,2014-12-06 01:59:40 UTC,0.0093,27214.508618646963,33278.95,6064.441381353035,3166.1778675723363,9,3,Enviada,Agencia Fisica
88,969,249,20,2022-11-19 02:07:57 UTC,0.0178,58196.3758356138,78917.69,20721.3141643862,1686.249252369969,54,4,Aprovada,Agencia Fisica
89,1291,928,5,2013-12-30 18:42:28 UTC,0.024,101775.63150391592,147301.56,45525.92849608408,9206.436374452744,13,4,Enviada,Agencia Digital
90,625,928,35,2010-06-07 18:21:16 UTC,0.0143,96230.69935024771,164544.85,68314.15064975228,16850.671177134656,6,2,Aprovada,Agencia Digital
91,1949,928,87,2019-04-12 19:01:14 UTC,0.0224,33744.090802491904,61689.62,27945.52919750809,2111.782046869391,20,2,Aprovada,Agencia Digital
92,1476,928,18,2018-12-06 14:43:05 UTC,0.0211,154585.06840169465,236248.08,81663.01159830534,13720.738637578565,13,0,Em análise,Agencia Digital
93,734,928,50,2015-06-22 04:01:44 UTC,0.0126,99998.07560109736,170949.08,70951.00439890263,17409.000184564087,6,4,Em análise,Agencia Digital
94,382,928,97,2017-05-20 21:35:28 UTC,0.023,84581.20052656361,114768.96,30187.7594734364,4486.35882617526,25,0,Validação documentos,Agencia Digital
95,308,335,6,2022-08-09 15:51:27 UTC,0.0204,138074.88904624793,177330.72,39255.83095375208,3698.41267846966,71,3,Enviada,Agencia Digital
96,1442,335,57,2013-05-30 10:46:12 UTC,0.023,15166.130489509133,27079.22,11913.089510490869,440.5686289285538,69,3,Aprovada,Agencia Digital
97,1,335,96,2022-11-23 18:21:09 UTC,0.0235,10408.065804542905,16083.99,5675.924195457094,265.71683411744635,109,3,Validação documentos,Agencia Digital
98,1120,114,6,2011-10-04 08:23:32 UTC,0.0129,6214.06796145798,9537.71,3323.6420385420183,282.8437012394485,26,4,Enviada,Agencia Digital
99,79,114,57,2015-12-17 15:37:23 UTC,0.0107,87239.71308359038,123207.06,35967.34691640962,1591.266399467205,83,2,Enviada,Agencia Digital
100,106,114,60,2021-01-27 03:13:52 UTC,0.0091,95446.23754939216,131196.9,35750.66245060784,1495.194808845338,96,3,Enviada,Agencia Digital
101,1390,806,6,2018-11-15 02:42:49 UTC,0.0243,103211.59065496648,124934.78,21723.189345033526,5401.365915390246,26,2,Enviada,Agencia Digital
102,472,806,51,2011-04-21 01:58:34 UTC,0.0105,102638.21723842228,124608.8,21970.58276157771,5046.324265296072,23,4,Enviada,Agencia Digital
103,1639,827,6,2013-12-09 22:00:45 UTC,0.0129,155881.86296694752,206120.59,50238.72703305248,3091.6370449514766,82,2,Enviada,Agencia Digital
104,1766,827,25,2016-08-27 00:32:46 UTC,0.0129,171210.94207560428,216152.24,44941.297924395694,3120.1921855485866,96,0,Enviada,Agencia Digital
105,101,827,9,2015-12-29 15:40:59 UTC,0.0179,23780.2846630219,38218.77,14438.485336978096,516.4304740928044,98,3,Aprovada,Agencia Digital
106,72,983,7,2022-03-21 04:49:19 UTC,0.0108,60091.11003355545,109302.14,49211.029966444556,2755.599260686576,25,1,Enviada,Agencia Digital
107,744,983,76,2012-09-15 01:11:19 UTC,0.0222,164685.49749674817,247680.4,82994.90250325181,4953.995437901796,61,3,Aprovada,Agencia Digital
108,1121,572,8,2010-01-07 12:30:10 UTC,0.0247,185357.3926963671,234345.58,48988.18730363288,4913.899251075726,110,2,Enviada,Agencia Digital
109,67,572,64,2013-03-17 10:13:56 UTC,0.0081,59681.51990679058,112216.04,52534.520093209416,3992.090187089212,16,5,Aprovada,Agencia Digital
110,989,572,72,2014-03-21 06:34:00 UTC,0.0186,107061.68835862452,155623.0,48561.31164137548,2449.153883758995,91,3,Validação documentos,Agencia Digital
111,1669,65,8,2022-09-24 01:37:57 UTC,0.0179,88993.96692125249,116726.64,27732.67307874751,1851.3492638752996,111,5,Enviada,Agencia Digital
112,748,65,54,2016-02-01 04:21:11 UTC,0.0236,50208.063990824274,82757.84,32549.776009175726,3309.664640439541,19,5,Aprovada,Agencia Digital
113,1737,65,86,2014-07-16 22:00:38 UTC,0.0188,17028.04469608169,26437.75,9409.705303918307,1598.3221337483417,12,3,Em análise,Agencia Digital
114,906,787,10,2015-09-17 07:18:09 UTC,0.0157,106954.15487289923,183309.59,76355.43512710073,2471.989161403984,73,4,Enviada,Agencia Digital
115,318,787,94,2011-11-06 21:52:59 UTC,0.0165,82631.64773314816,139219.34,56587.69226685184,4197.535025380932,24,6,Enviada,Agencia Digital
116,1861,905,10,2012-02-20 12:54:02 UTC,0.021,2130.43778606104,2850.11,719.6722139389601,70.03547781504082,49,3,Enviada,Agencia Fisica
117,576,905,13,2018-07-29 06:28:27 UTC,0.0136,74902.21894010481,108072.51,33170.29105989518,1599.374433102556,75,0,Enviada,Agencia Fisica
118,1483,905,27,2012-02-13 03:17:30 UTC,0.0235,130116.95768202688,245412.65,115295.69231797312,5396.173200891084,36,4,Em análise,Agencia Fisica
119,1911,127,10,2021-02-17 16:43:26 UTC,0.0159,55943.238826784895,72010.93,16067.691173215098,1425.580833563814,62,5,Enviada,Agencia Fisica
120,1956,336,10,2015-11-20 19:09:20 UTC,0.0165,62196.84847079376,81395.72,19198.87152920624,2031.1537488044976,43,2,Enviada,Agencia Digital
121,553,511,11,2014-04-07 09:13:03 UTC,0.0084,54924.83947175932,67689.85,12765.010528240691,1498.3306058184396,44,3,Enviada,Agencia Digital
122,743,511,32,2015-10-17 18:24:42 UTC,0.0116,147211.86019452367,200167.25,52955.38980547632,7938.930011305473,21,1,Validação documentos,Agencia Digital
123,635,511,95,2018-11-03 17:34:58 UTC,0.0162,106423.56261454964,173705.88,67282.31738545037,2212.542820790141,94,6,Validação documentos,Agencia Digital
124,87,528,12,2021-07-03 18:31:08 UTC,0.0178,54837.439265361165,80436.1,25598.66073463884,1182.2254527601683,99,0,Enviada,Agencia Fisica
125,1845,528,40,2021-08-11 11:59:58 UTC,0.0129,51805.022078411916,97392.24,45587.2179215881,949.1616091792806,95,6,Enviada,Agencia Fisica
126,1465,528,28,2020-08-01 04:30:13 UTC,0.0147,74060.9529910352,133815.42,59754.467008964806,2462.1069234080096,40,2,Aprovada,Agencia Fisica
127,1508,528,48,2022-04-22 08:52:14 UTC,0.0146,112141.8524462624,201827.11,89685.2575537376,5055.543761900513,27,2,Validação documentos,Agencia Fisica
128,230,561,12,2014-06-17 01:23:40 UTC,0.0117,177882.89483999385,225362.93,47480.035160006126,20938.93421767477,9,3,Enviada,Agencia Digital
129,1682,561,45,2012-08-16 07:19:49 UTC,0.0111,101157.38784013974,141781.5,40624.112159860255,4824.425192129084,24,0,Enviada,Agencia Digital
130,965,561,64,2019-04-03 18:27:40 UTC,0.0088,105272.70207181908,138722.78,33450.07792818091,3133.58082922758,40,3,Enviada,Agencia Digital
131,1653,561,96,2011-04-05 12:19:20 UTC,0.0238,145083.2045172815,245724.28,100641.07548271852,4091.0008300876057,79,4,Em análise,Agencia Digital
132,478,551,12,2016-01-06 08:08:03 UTC,0.0223,80871.28079639428,113384.93,32513.64920360572,2038.1535903656693,98,3,Enviada,Agencia Digital
133,956,551,36,2017-11-22 10:39:06 UTC,0.0153,37977.112584075854,48504.95,10527.83741592414,693.11754633594,120,3,Enviada,Agencia Digital
134,208,551,39,2018-01-02 03:48:45 UTC,0.0117,42886.29611329058,82355.14,39468.843886709416,768.3704315112194,91,6,Aprovada,Agencia Digital
135,1241,551,79,2018-12-12 22:42:39 UTC,0.0168,48477.52396019726,59741.43,11263.906039802749,1024.9607244394504,95,3,Validação documentos,Agencia Digital
136,1222,876,12,2018-07-18 09:59:32 UTC,0.0095,56134.721117012,77171.78,21037.058882988,2159.2600294926838,30,6,Enviada,Agencia Fisica
137,897,876,53,2019-10-02 14:10:40 UTC,0.0249,71852.56585403509,129520.15,57667.58414596492,2554.602365248088,49,1,Enviada,Agencia Fisica
138,1560,876,54,2019-12-20 02:23:33 UTC,0.0234,91002.52293301676,117029.98,26027.45706698324,3583.272822955837,39,3,Em análise,Agencia Fisica
139,1980,876,91,2010-10-24 08:34:12 UTC,0.0134,189499.5392476097,242564.46,53064.920752390295,4343.601366102052,66,5,Em análise,Agencia Fisica
140,943,876,92,2020-05-18 05:43:38 UTC,0.0192,111468.69157556034,219863.08,108394.38842443965,2428.8296094886878,112,5,Em análise,Agencia Fisica
141,1413,498,12,2020-08-21 12:01:47 UTC,0.0177,1702.589459387937,2118.23,415.64054061206286,97.78223269064593,21,1,Enviada,Agencia Digital
142,1600,498,51,2017-05-13 12:26:48 UTC,0.0129,139121.30012465466,219039.21,79917.90987534533,2285.5819964034954,120,3,Enviada,Agencia Digital
143,1043,498,69,2019-01-24 16:07:36 UTC,0.0201,174936.563656792,237688.64,62752.076343208006,3895.8944337778426,117,6,Aprovada,Agencia Digital
144,470,498,61,2012-03-17 16:35:15 UTC,0.0208,69989.52004145557,95750.92,25761.399958544425,18416.60816241587,4,6,Em análise,Agencia Digital
145,663,498,63,2015-05-24 02:17:25 UTC,0.0249,165367.64772477292,247848.06,82480.41227522709,12657.139072381857,16,1,Validação documentos,Agencia Digital
146,1728,545,12,2017-12-17 12:46:31 UTC,0.019,31701.490710584763,49986.53,18285.03928941524,675.6378204724116,118,1,Enviada,Agencia Fisica
147,103,545,23,2020-10-12 23:19:47 UTC,0.0241,59138.71692625228,87311.69,28172.97307374772,2141.253251296072,46,4,Aprovada,Agencia Fisica
148,1105,545,60,2021-10-31 22:17:07 UTC,0.0214,82652.1178154995,128271.69,45619.57218450048,2222.948210625206,75,3,Em análise,Agencia Fisica
149,1324,545,68,2022-01-14 04:55:43 UTC,0.015,98895.85282879887,188489.14,89593.28717120114,3575.3219883285747,36,5,Validação documentos,Agencia Fisica
150,1114,545,76,2014-05-29 05:01:57 UTC,0.0147,143079.42419091883,182739.35,39659.92580908117,3568.396315685523,61,2,Validação documentos,Agencia Fisica
151,618,545,85,2010-06-01 00:04:10 UTC,0.0194,68264.03326332511,128761.57,60497.536736674905,2391.3189440664164,42,6,Validação documentos,Agencia Fisica
152,1875,973,12,2017-05-28 06:08:20 UTC,0.0127,113668.2009529192,145713.86,32045.6590470808,5335.223672655114,25,2,Enviada,Agencia Digital
153,1060,973,45,2013-03-03 12:07:42 UTC,0.0181,55162.32771454793,97950.92,42788.59228545207,1193.4011661520171,101,1,Aprovada,Agencia Digital
154,53,489,13,2021-11-30 01:11:53 UTC,0.0123,68601.85915494779,90359.89,21758.030845052217,1305.7214052279303,85,5,Enviada,Agencia Digital
155,673,927,13,2020-07-20 09:16:36 UTC,0.0213,122043.3376068094,193809.71,71766.3723931906,4187.837959209668,46,4,Enviada,Agencia Fisica
156,1191,927,79,2016-11-10 00:22:29 UTC,0.0208,23677.213301444517,42446.92,18769.706698555485,998.8397325607357,33,1,Enviada,Agencia Fisica
157,701,927,54,2013-11-07 23:01:46 UTC,0.0095,94138.11676274551,119018.45,24880.333237254483,2337.554339534771,51,0,Aprovada,Agencia Fisica
158,1295,927,50,2022-01-28 10:40:18 UTC,0.0123,157633.9506389586,199276.92,41642.9693610414,2600.1430774528067,112,3,Validação documentos,Agencia Fisica
159,875,429,13,2019-02-04 17:53:39 UTC,0.0169,142939.09757253266,185095.87,42156.77242746734,73286.36219254446,2,3,Enviada,Agencia Fisica
160,1339,429,15,2015-11-10 13:13:00 UTC,0.0194,36926.128632885135,44548.77,7622.641367114855,996.8298490788734,66,0,Enviada,Agencia Fisica
161,1685,429,95,2019-02-28 23:32:16 UTC,0.0145,140067.95178052588,185209.06,45141.10821947411,3758.36772194612,54,2,Enviada,Agencia Fisica
162,884,429,43,2016-07-01 05:23:40 UTC,0.0102,87781.93265008644,169487.11,81705.17734991353,1277.0984647160728,119,3,Aprovada,Agencia Fisica
163,1133,429,62,2021-11-25 11:40:40 UTC,0.0124,68285.27089653217,125287.26,57001.98910346782,1189.2840864036891,101,0,Aprovada,Agencia Fisica
164,941,429,25,2011-01-22 21:35:33 UTC,0.0107,30435.383313159804,52108.68,21673.2966868402,30761.041914610807,1,0,Validação documentos,Agencia Fisica
165,466,429,65,2012-11-30 22:23:32 UTC,0.0165,176947.37082628388,243282.66,66335.28917371611,6427.955709109865,37,4,Validação documentos,Agencia Fisica
166,1159,332,15,2017-08-14 11:30:11 UTC,0.0123,12489.678561473642,19344.59,6854.911438526358,326.5556549085264,52,4,Enviada,Agencia Fisica
167,275,332,48,2017-08-07 19:30:22 UTC,0.0166,46387.889725467416,88725.05,42337.16027453259,978.1502769356805,94,0,Validação documentos,Agencia Fisica
168,1846,642,15,2018-02-13 23:35:58 UTC,0.0119,117394.8148182202,227027.5,109632.6851817798,7668.4799353578765,17,1,Enviada,Agencia Fisica
169,22,355,16,2021-05-14 18:13:36 UTC,0.0087,31123.47279840081,42496.51,11373.037201599194,496.49445557793456,91,6,Enviada,Agencia Fisica
170,584,355,43,2022-01-02 06:37:34 UTC,0.018,50411.28947856244,95061.64,44650.35052143756,1668.448730806571,44,1,Enviada,Agencia Fisica
171,593,355,70,2021-07-28 23:25:13 UTC,0.0156,167808.50148622735,204293.24,36484.73851377263,4021.3739363320215,68,1,Em análise,Agencia Fisica
172,46,575,16,2019-03-14 04:06:15 UTC,0.0209,43183.00211008568,78427.34,35244.33788991431,986.6998789664083,119,6,Enviada,Agencia Fisica
173,527,575,1,2020-03-04 02:05:20 UTC,0.0199,57758.42704638686,84849.07,27090.642953613147,5898.280697476952,11,3,Validação documentos,Agencia Fisica
174,839,174,16,2019-10-05 15:24:50 UTC,0.0223,145336.82141844125,195421.72,50084.89858155875,16375.16141397054,10,2,Enviada,Agencia Digital
175,1259,174,33,2022-12-05 14:25:10 UTC,0.0237,17247.541806813013,34326.14,17078.598193186986,1137.9739708732045,19,6,Em análise,Agencia Digital
176,896,705,16,2012-04-24 11:31:09 UTC,0.0101,114731.99919586215,216856.25,102124.25080413785,1838.6720458588352,99,5,Enviada,Agencia Fisica
